,Community Area,Year,Reported Incident,Total for Year
0,1,2014,1,110
1,1,2015,1,99
2,1,2016,1,117
3,1,2017,1,118
4,1,2018,1,97
5,1,2019,1,81
6,1,2020,1,126
7,1,2021,1,166
8,1,2022,1,150
9,2,2014,1,77
10,2,2015,1,79
11,2,2016,1,136
12,2,2017,1,103
13,2,2018,1,140
14,2,2019,1,83
15,2,2020,1,123
16,2,2021,1,97
17,2,2022,1,127
18,3,2014,1,51
19,3,2015,1,88
20,3,2016,1,108
21,3,2017,1,92
22,3,2018,1,64
23,3,2019,1,76
24,3,2020,1,81
25,3,2021,1,95
26,3,2022,1,99
27,4,2014,1,21
28,4,2015,1,37
29,4,2016,1,45
30,4,2017,1,49
31,4,2018,1,29
32,4,2019,1,28
33,4,2020,1,28
34,4,2021,1,44
35,4,2022,1,48
36,5,2014,1,10
37,5,2015,1,22
38,5,2016,1,33
39,5,2017,1,37
40,5,2018,1,26
41,5,2019,1,20
42,5,2020,1,20
43,5,2021,1,32
44,5,2022,1,36
45,6,2014,1,50
46,6,2015,1,64
47,6,2016,1,106
48,6,2017,1,97
49,6,2018,1,83
50,6,2019,1,56
51,6,2020,1,55
52,6,2021,1,140
53,6,2022,1,132
54,7,2014,1,35
55,7,2015,1,53
56,7,2016,1,65
57,7,2017,1,75
58,7,2018,1,79
59,7,2019,1,47
60,7,2020,1,54
61,7,2021,1,95
62,7,2022,1,94
63,8,2014,1,78
64,8,2015,1,95
65,8,2016,1,151
66,8,2017,1,150
67,8,2018,1,156
68,8,2019,1,203
69,8,2020,1,266
70,8,2021,1,479
71,8,2022,1,379
72,9,2015,1,2
73,9,2016,1,3
74,9,2017,1,4
75,9,2018,1,3
76,9,2019,1,1
77,9,2020,1,1
78,9,2022,1,3
79,10,2014,1,8
80,10,2015,1,10
81,10,2016,1,12
82,10,2017,1,12
83,10,2018,1,16
84,10,2019,1,11
85,10,2020,1,14
86,10,2021,1,21
87,10,2022,1,25
88,11,2014,1,9
89,11,2015,1,19
90,11,2016,1,13
91,11,2017,1,19
92,11,2018,1,23
93,11,2019,1,17
94,11,2020,1,19
95,11,2021,1,20
96,11,2022,1,24
97,12,2014,1,3
98,12,2016,1,11
99,12,2017,1,11
100,12,2018,1,3
101,12,2019,1,7
102,12,2020,1,18
103,12,2021,1,21
104,12,2022,1,17
105,13,2014,1,12
106,13,2015,1,9
107,13,2016,1,32
108,13,2017,1,25
109,13,2018,1,30
110,13,2019,1,16
111,13,2020,1,30
112,13,2021,1,35
113,13,2022,1,23
114,14,2014,1,65
115,14,2015,1,78
116,14,2016,1,103
117,14,2017,1,109
118,14,2018,1,131
119,14,2019,1,112
120,14,2020,1,171
121,14,2021,1,106
122,14,2022,1,117
123,15,2014,1,52
124,15,2015,1,66
125,15,2016,1,82
126,15,2017,1,76
127,15,2018,1,104
128,15,2019,1,85
129,15,2020,1,106
130,15,2021,1,132
131,15,2022,1,113
132,16,2014,1,44
133,16,2015,1,69
134,16,2016,1,108
135,16,2017,1,79
136,16,2018,1,108
137,16,2019,1,79
138,16,2020,1,118
139,16,2021,1,153
140,16,2022,1,100
141,17,2014,1,20
142,17,2015,1,26
143,17,2016,1,40
144,17,2017,1,32
145,17,2018,1,25
146,17,2019,1,30
147,17,2020,1,32
148,17,2021,1,48
149,17,2022,1,34
150,18,2014,1,11
151,18,2015,1,15
152,18,2016,1,13
153,18,2017,1,22
154,18,2018,1,18
155,18,2019,1,19
156,18,2020,1,29
157,18,2021,1,35
158,18,2022,1,33
159,19,2014,1,158
160,19,2015,1,178
161,19,2016,1,223
162,19,2017,1,207
163,19,2018,1,248
164,19,2019,1,183
165,19,2020,1,276
166,19,2021,1,320
167,19,2022,1,300
168,20,2014,1,66
169,20,2015,1,72
170,20,2016,1,85
171,20,2017,1,98
172,20,2018,1,93
173,20,2019,1,82
174,20,2020,1,99
175,20,2021,1,98
176,20,2022,1,106
177,21,2014,1,64
178,21,2015,1,72
179,21,2016,1,80
180,21,2017,1,92
181,21,2018,1,99
182,21,2019,1,109
183,21,2020,1,115
184,21,2021,1,85
185,21,2022,1,100
186,22,2014,1,116
187,22,2015,1,140
188,22,2016,1,186
189,22,2017,1,203
190,22,2018,1,193
191,22,2019,1,159
192,22,2020,1,165
193,22,2021,1,169
194,22,2022,1,163
195,23,2014,1,389
196,23,2015,1,404
197,23,2016,1,553
198,23,2017,1,619
199,23,2018,1,591
200,23,2019,1,492
201,23,2020,1,675
202,23,2021,1,660
203,23,2022,1,564
204,24,2014,1,173
205,24,2015,1,201
206,24,2016,1,315
207,24,2017,1,321
208,24,2018,1,265
209,24,2019,1,221
210,24,2020,1,254
211,24,2021,1,341
212,24,2022,1,318
213,25,2014,1,858
214,25,2015,1,962
215,25,2016,1,1320
216,25,2017,1,1358
217,25,2018,1,1162
218,25,2019,1,1078
219,25,2020,1,1388
220,25,2021,1,1334
221,25,2022,1,1056
222,26,2014,1,273
223,26,2015,1,355
224,26,2016,1,464
225,26,2017,1,455
226,26,2018,1,458
227,26,2019,1,436
228,26,2020,1,593
229,26,2021,1,668
230,26,2022,1,503
231,27,2014,1,237
232,27,2015,1,296
233,27,2016,1,431
234,27,2017,1,366
235,27,2018,1,414
236,27,2019,1,371
237,27,2020,1,435
238,27,2021,1,446
239,27,2022,1,355
240,28,2014,1,182
241,28,2015,1,227
242,28,2016,1,267
243,28,2017,1,367
244,28,2018,1,288
245,28,2019,1,288
246,28,2020,1,318
247,28,2021,1,398
248,28,2022,1,412
249,29,2014,1,393
250,29,2015,1,500
251,29,2016,1,724
252,29,2017,1,798
253,29,2018,1,707
254,29,2019,1,670
255,29,2020,1,862
256,29,2021,1,893
257,29,2022,1,764
258,30,2014,1,184
259,30,2015,1,239
260,30,2016,1,339
261,30,2017,1,331
262,30,2018,1,365
263,30,2019,1,335
264,30,2020,1,433
265,30,2021,1,461
266,30,2022,1,477
267,31,2014,1,99
268,31,2015,1,118
269,31,2016,1,164
270,31,2017,1,176
271,31,2018,1,137
272,31,2019,1,126
273,31,2020,1,179
274,31,2021,1,216
275,31,2022,1,226
276,32,2014,1,32
277,32,2015,1,48
278,32,2016,1,86
279,32,2017,1,86
280,32,2018,1,108
281,32,2019,1,74
282,32,2020,1,163
283,32,2021,1,191
284,32,2022,1,214
285,33,2014,1,23
286,33,2015,1,46
287,33,2016,1,35
288,33,2017,1,47
289,33,2018,1,47
290,33,2019,1,38
291,33,2020,1,68
292,33,2021,1,105
293,33,2022,1,108
294,34,2014,1,35
295,34,2015,1,53
296,34,2016,1,51
297,34,2017,1,61
298,34,2018,1,42
299,34,2019,1,49
300,34,2020,1,76
301,34,2021,1,111
302,34,2022,1,122
303,35,2014,1,100
304,35,2015,1,86
305,35,2016,1,126
306,35,2017,1,82
307,35,2018,1,89
308,35,2019,1,116
309,35,2020,1,168
310,35,2021,1,173
311,35,2022,1,152
312,36,2014,1,36
313,36,2015,1,39
314,36,2016,1,40
315,36,2017,1,28
316,36,2018,1,33
317,36,2019,1,44
318,36,2020,1,56
319,36,2021,1,39
320,36,2022,1,70
321,37,2014,1,55
322,37,2015,1,66
323,37,2016,1,61
324,37,2017,1,68
325,37,2018,1,58
326,37,2019,1,66
327,37,2020,1,90
328,37,2021,1,84
329,37,2022,1,88
330,38,2014,1,189
331,38,2015,1,183
332,38,2016,1,233
333,38,2017,1,228
334,38,2018,1,195
335,38,2019,1,178
336,38,2020,1,242
337,38,2021,1,292
338,38,2022,1,292
339,39,2014,1,77
340,39,2015,1,93
341,39,2016,1,76
342,39,2017,1,88
343,39,2018,1,57
344,39,2019,1,61
345,39,2020,1,63
346,39,2021,1,87
347,39,2022,1,90
348,40,2014,1,165
349,40,2015,1,154
350,40,2016,1,197
351,40,2017,1,220
352,40,2018,1,187
353,40,2019,1,148
354,40,2020,1,177
355,40,2021,1,238
356,40,2022,1,209
357,41,2014,1,39
358,41,2015,1,42
359,41,2016,1,50
360,41,2017,1,56
361,41,2018,1,45
362,41,2019,1,67
363,41,2020,1,63
364,41,2021,1,96
365,41,2022,1,103
366,42,2014,1,216
367,42,2015,1,241
368,42,2016,1,244
369,42,2017,1,247
370,42,2018,1,250
371,42,2019,1,224
372,42,2020,1,316
373,42,2021,1,346
374,42,2022,1,308
375,43,2014,1,435
376,43,2015,1,381
377,43,2016,1,525
378,43,2017,1,559
379,43,2018,1,479
380,43,2019,1,539
381,43,2020,1,668
382,43,2021,1,838
383,43,2022,1,714
384,44,2014,1,302
385,44,2015,1,318
386,44,2016,1,349
387,44,2017,1,377
388,44,2018,1,408
389,44,2019,1,455
390,44,2020,1,540
391,44,2021,1,561
392,44,2022,1,509
393,45,2014,1,91
394,45,2015,1,79
395,45,2016,1,101
396,45,2017,1,88
397,45,2018,1,82
398,45,2019,1,99
399,45,2020,1,110
400,45,2021,1,162
401,45,2022,1,116
402,46,2014,1,288
403,46,2015,1,269
404,46,2016,1,294
405,46,2017,1,261
406,46,2018,1,281
407,46,2019,1,344
408,46,2020,1,332
409,46,2021,1,390
410,46,2022,1,408
411,47,2014,1,19
412,47,2015,1,25
413,47,2016,1,27
414,47,2017,1,43
415,47,2018,1,47
416,47,2019,1,49
417,47,2020,1,43
418,47,2021,1,41
419,47,2022,1,34
420,48,2014,1,75
421,48,2015,1,71
422,48,2016,1,80
423,48,2017,1,93
424,48,2018,1,106
425,48,2019,1,98
426,48,2020,1,122
427,48,2021,1,191
428,48,2022,1,139
429,49,2014,1,461
430,49,2015,1,454
431,49,2016,1,542
432,49,2017,1,500
433,49,2018,1,538
434,49,2019,1,518
435,49,2020,1,668
436,49,2021,1,765
437,49,2022,1,625
438,50,2014,1,60
439,50,2015,1,36
440,50,2016,1,59
441,50,2017,1,65
442,50,2018,1,51
443,50,2019,1,69
444,50,2020,1,86
445,50,2021,1,115
446,50,2022,1,72
447,51,2014,1,116
448,51,2015,1,99
449,51,2016,1,110
450,51,2017,1,137
451,51,2018,1,118
452,51,2019,1,115
453,51,2020,1,176
454,51,2021,1,161
455,51,2022,1,183
456,52,2014,1,45
457,52,2015,1,56
458,52,2016,1,53
459,52,2017,1,80
460,52,2018,1,65
461,52,2019,1,64
462,52,2020,1,94
463,52,2021,1,96
464,52,2022,1,80
465,53,2014,1,278
466,53,2015,1,282
467,53,2016,1,340
468,53,2017,1,323
469,53,2018,1,365
470,53,2019,1,347
471,53,2020,1,477
472,53,2021,1,553
473,53,2022,1,397
474,54,2014,1,110
475,54,2015,1,78
476,54,2016,1,107
477,54,2017,1,104
478,54,2018,1,116
479,54,2019,1,137
480,54,2020,1,148
481,54,2021,1,163
482,54,2022,1,134
483,55,2014,1,14
484,55,2015,1,12
485,55,2016,1,12
486,55,2017,1,20
487,55,2018,1,32
488,55,2019,1,16
489,55,2020,1,31
490,55,2021,1,33
491,55,2022,1,23
492,56,2014,1,37
493,56,2015,1,28
494,56,2016,1,46
495,56,2017,1,62
496,56,2018,1,52
497,56,2019,1,60
498,56,2020,1,81
499,56,2021,1,81
500,56,2022,1,81
501,57,2014,1,23
502,57,2015,1,29
503,57,2016,1,42
504,57,2017,1,32
505,57,2018,1,33
506,57,2019,1,30
507,57,2020,1,51
508,57,2021,1,84
509,57,2022,1,98
510,58,2014,1,83
511,58,2015,1,118
512,58,2016,1,189
513,58,2017,1,159
514,58,2018,1,141
515,58,2019,1,168
516,58,2020,1,174
517,58,2021,1,193
518,58,2022,1,207
519,59,2014,1,22
520,59,2015,1,33
521,59,2016,1,45
522,59,2017,1,44
523,59,2018,1,33
524,59,2019,1,43
525,59,2020,1,82
526,59,2021,1,74
527,59,2022,1,71
528,60,2014,1,30
529,60,2015,1,36
530,60,2016,1,63
531,60,2017,1,62
532,60,2018,1,62
533,60,2019,1,68
534,60,2020,1,96
535,60,2021,1,91
536,60,2022,1,103
537,61,2014,1,226
538,61,2015,1,282
539,61,2016,1,445
540,61,2017,1,377
541,61,2018,1,331
542,61,2019,1,344
543,61,2020,1,464
544,61,2021,1,496
545,61,2022,1,524
546,62,2014,1,25
547,62,2015,1,34
548,62,2016,1,50
549,62,2017,1,51
550,62,2018,1,46
551,62,2019,1,45
552,62,2020,1,58
553,62,2021,1,71
554,62,2022,1,61
555,63,2014,1,84
556,63,2015,1,117
557,63,2016,1,154
558,63,2017,1,154
559,63,2018,1,150
560,63,2019,1,181
561,63,2020,1,206
562,63,2021,1,188
563,63,2022,1,188
564,64,2014,1,5
565,64,2015,1,23
566,64,2016,1,20
567,64,2017,1,21
568,64,2018,1,17
569,64,2019,1,42
570,64,2020,1,41
571,64,2021,1,47
572,64,2022,1,38
573,65,2014,1,37
574,65,2015,1,34
575,65,2016,1,80
576,65,2017,1,89
577,65,2018,1,73
578,65,2019,1,67
579,65,2020,1,83
580,65,2021,1,93
581,65,2022,1,110
582,66,2014,1,276
583,66,2015,1,320
584,66,2016,1,358
585,66,2017,1,395
586,66,2018,1,378
587,66,2019,1,408
588,66,2020,1,517
589,66,2021,1,523
590,66,2022,1,486
591,67,2014,1,507
592,67,2015,1,481
593,67,2016,1,635
594,67,2017,1,595
595,67,2018,1,606
596,67,2019,1,576
597,67,2020,1,836
598,67,2021,1,795
599,67,2022,1,680
600,68,2014,1,450
601,68,2015,1,459
602,68,2016,1,530
603,68,2017,1,551
604,68,2018,1,539
605,68,2019,1,569
606,68,2020,1,738
607,68,2021,1,761
608,68,2022,1,600
609,69,2014,1,391
610,69,2015,1,406
611,69,2016,1,476
612,69,2017,1,545
613,69,2018,1,505
614,69,2019,1,525
615,69,2020,1,769
616,69,2021,1,841
617,69,2022,1,680
618,70,2014,1,81
619,70,2015,1,98
620,70,2016,1,131
621,70,2017,1,133
622,70,2018,1,124
623,70,2019,1,123
624,70,2020,1,159
625,70,2021,1,140
626,70,2022,1,116
627,71,2014,1,420
628,71,2015,1,460
629,71,2016,1,574
630,71,2017,1,645
631,71,2018,1,686
632,71,2019,1,614
633,71,2020,1,669
634,71,2021,1,797
635,71,2022,1,610
636,72,2014,1,11
637,72,2015,1,16
638,72,2016,1,25
639,72,2017,1,22
640,72,2018,1,14
641,72,2019,1,24
642,72,2020,1,31
643,72,2021,1,34
644,72,2022,1,40
645,73,2014,1,186
646,73,2015,1,188
647,73,2016,1,234
648,73,2017,1,206
649,73,2018,1,181
650,73,2019,1,200
651,73,2020,1,241
652,73,2021,1,303
653,73,2022,1,260
654,74,2014,1,8
655,74,2015,1,9
656,74,2016,1,4
657,74,2017,1,9
658,74,2018,1,6
659,74,2019,1,8
660,74,2020,1,5
661,74,2021,1,24
662,74,2022,1,14
663,75,2014,1,75
664,75,2015,1,85
665,75,2016,1,103
666,75,2017,1,98
667,75,2018,1,87
668,75,2019,1,94
669,75,2020,1,123
670,75,2021,1,118
671,75,2022,1,120
672,76,2014,1,9
673,76,2015,1,15
674,76,2016,1,10
675,76,2017,1,10
676,76,2018,1,17
677,76,2019,1,11
678,76,2020,1,14
679,76,2021,1,23
680,76,2022,1,18
681,77,2014,1,33
682,77,2015,1,51
683,77,2016,1,61
684,77,2017,1,50
685,77,2018,1,53
686,77,2019,1,37
687,77,2020,1,45
688,77,2021,1,47
689,77,2022,1,61
